	LFTS_02456	forG2	pyruvate ferredoxin oxidoreductase gamma subunit	BDKBJLID_00764	pyruvate ferredoxin oxidoreductase gamma subunit	LFTS_02456	1.2.7.1~~~forG2~~~pyruvate ferredoxin oxidoreductase gamma subunit	oxidoreductase gamma subunit			K00172		C	
	LFTS_00965		Isocitrate dehydrogenase (NAD+)	BDKBJLID_01850	putative isocitrate dehydrogenase (NADP)	LFTS_00965	~~~~~~putative isocitrate dehydrogenase (NADP)							
	LFTS_00966		Putative isocitrate dehydrogenase (NADP)	BDKBJLID_01851	hypothetical protein	LFTS_00966	~~~~~~hypothetical protein							
	LFTS_00581		Aconitase	BDKBJLID_01459	aconitate hydratase	LFTS_00581	4.2.1.3~~~~~~aconitase	Aconitate hydratase	ACNA		K01681	ACONT ACONTa ACONTb MICITDr	C	
	LFTS_00582		Citryl-CoA lyase	BDKBJLID_01460	citrate synthase	LFTS_00582	4.1.3.34~~~~~~citryl-CoA lyase	citrate synthase			K01647 K15234		C	
	LFTS_00578		Citryl-CoA synthetase large subunit	BDKBJLID_01456	succinyl-CoA synthetase	 beta subunit	LFTS_00578	6.2.1.18~~~~~~citryl-CoA synthetase large subunit	Succinate--CoA ligase (EC 6.2.1.5)			K01903 K15232		C
	LFTS_02453	forA	Pyruvate ferredoxin oxidoreductase alpha subunit	BDKBJLID_00761	Pyruvate ferredoxin oxidoreductase	LFTS_02453	1.2.7.1~~~~~~pyruvate ferredoxin oxidoreductase alpha subunit	Pyruvate flavodoxin ferredoxin oxidoreductase domain protein	PORA		K00169		C	
	LFTS_02452	forB	Pyruvate ferredoxin oxidoreductase beta subunit	BDKBJLID_00760	Pyruvate ferredoxin oxidoreductase	LFTS_02452	1.2.7.1~~~~~~pyruvate ferredoxin oxidoreductase beta subunit	Thiamine pyrophosphate protein domain protein TPP-binding	PORB		K00170		C	
	LFTS_02455	forD	Pyruvate:ferredoxin oxidoreductase delta subunit	BDKBJLID_00763	pyruvate ferredoxin oxidoreductase	LFTS_02455	~~~~~~Pyruvate:ferredoxin oxidoreductase	 delta subunit	Ferredoxin	FORE		K00171		C
	LFTS_02450		Pyruvate ferredoxin oxidoreductase epsilon subunit	BDKBJLID_00758	pyruvate ferredoxin oxidoreductase	LFTS_02450	~~~~~~pyruvate ferredoxin oxidoreductase							
	LFTS_02143	ppsA	Phosphoenolpyruvate synthase	BDKBJLID_00444	phosphoenolpyruvate synthase	LFTS_02143	2.7.9.2~~~ppsA~~~phosphoenolpyruvate synthase	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate (By similarity)	PPSA		K01007	PPS	G	
