locus_tag	ftype	gene	EC_number	product
BDKBJLID_00106	CDS			putative PilT-like protein
BDKBJLID_00106	gene			
BDKBJLID_00107	CDS			hypothetical protein
BDKBJLID_00107	gene			
BDKBJLID_00108	CDS			NADH ubiquinone oxidoreductase subunit 5 chain L
BDKBJLID_00108	gene			
BDKBJLID_00109	CDS			hypothetical protein
BDKBJLID_00109	gene			
BDKBJLID_00110	CDS			hypothetical protein
BDKBJLID_00110	gene			
BDKBJLID_00111	CDS	ilvD-1_1		dihydroxyacid dehydratase/phosphogluconate dehydratase
BDKBJLID_00111	gene	ilvD-1_1		
BDKBJLID_00112	CDS			Sua5/YciO/YrdC/YwlC family protein
BDKBJLID_00112	gene			
BDKBJLID_00113	CDS	ilvD_1		dihydroxyacid dehydratase
BDKBJLID_00113	gene	ilvD_1		
BDKBJLID_00114	CDS			hypothetical protein
BDKBJLID_00114	gene			
BDKBJLID_00115	CDS			NADH ubiquinone oxidoreductase subunit 5
BDKBJLID_00115	gene			
BDKBJLID_00116	CDS			NADH ubiquinone oxidoreductase subunit 5
BDKBJLID_00116	gene			
BDKBJLID_00117	CDS			hypothetical protein
BDKBJLID_00117	gene			
BDKBJLID_00118	CDS			PAS domain S-box-containing protein
BDKBJLID_00118	gene			
BDKBJLID_00119	CDS			PAS domain S-box-containing protein
BDKBJLID_00119	gene			
BDKBJLID_00120	CDS			PAS domain S-box-containing protein
BDKBJLID_00120	gene			
BDKBJLID_00121	CDS			putative two component, sigma54 specific, transcriptional regulator, Fis family
BDKBJLID_00121	gene			
BDKBJLID_00122	CDS			hypothetical protein
BDKBJLID_00122	gene			
BDKBJLID_00123	CDS			hypothetical protein
BDKBJLID_00123	gene			
BDKBJLID_00124	CDS			hypothetical protein
BDKBJLID_00124	gene			
BDKBJLID_00125	CDS			putative hydrolase
BDKBJLID_00125	gene			
BDKBJLID_00126	CDS			3-hydroxyisobutyrate dehydrogenase
BDKBJLID_00126	gene			
BDKBJLID_00127	CDS			DinB family protein
BDKBJLID_00127	gene			
BDKBJLID_00128	CDS			putative carboxymuconolactone decarboxylase
BDKBJLID_00128	gene			
BDKBJLID_00129	CDS			membrane protease subunit
BDKBJLID_00129	gene			
BDKBJLID_00130	CDS			putative nodulation efficiency protein D
BDKBJLID_00130	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00131	CDS			Tetratricopeptide repeat-containing protein
BDKBJLID_00131	gene			
BDKBJLID_00132	CDS	smc		Chromosome partition protein Smc
BDKBJLID_00132	gene	smc		
BDKBJLID_00133	CDS			hypothetical protein
BDKBJLID_00133	gene			
BDKBJLID_00134	CDS			Tetratricopeptide repeat protein
BDKBJLID_00134	gene			
BDKBJLID_00135	CDS			diguanylate cyclase (GGDEF) domain-containing protein
BDKBJLID_00135	gene			
BDKBJLID_00136	CDS			PAS fold-containing protein
BDKBJLID_00136	gene			
BDKBJLID_00137	CDS			hypothetical protein
BDKBJLID_00137	gene			
BDKBJLID_00138	CDS			homoserine dehydrogenase
BDKBJLID_00138	gene			
BDKBJLID_00139	CDS			hypothetical protein
BDKBJLID_00139	gene			
BDKBJLID_00140	misc_RNA			crcB
BDKBJLID_00140	gene			
BDKBJLID_00141	CDS			hypothetical protein
BDKBJLID_00141	gene			
BDKBJLID_00142	CDS			MFS transporter, DHA2 family, multidrug resistance protein
BDKBJLID_00142	gene			
BDKBJLID_00143	CDS			NADH-flavin oxidoreductase/NADH oxidase
BDKBJLID_00143	gene			
BDKBJLID_00144	CDS			permease
BDKBJLID_00144	gene			
BDKBJLID_00145	CDS			permease
BDKBJLID_00145	gene			
BDKBJLID_00146	CDS			putative FAD dependent oxidoreductase
BDKBJLID_00146	gene			
BDKBJLID_00147	CDS			hypothetical protein
BDKBJLID_00147	gene			
BDKBJLID_00148	CDS			preprotein translocase subunit TatA
BDKBJLID_00148	gene			
BDKBJLID_00149	CDS			cbb3-type cytochrome oxidase, subunit 1
BDKBJLID_00149	gene			
BDKBJLID_00150	CDS			putative methyltransferase
BDKBJLID_00150	gene			
BDKBJLID_00151	CDS			catalytic LigB subunit of aromatic ring opening dioxygenase
BDKBJLID_00151	gene			
BDKBJLID_00152	CDS			hypothetical protein
BDKBJLID_00152	gene			
BDKBJLID_00153	CDS			putative radical SAM family protein
BDKBJLID_00153	gene			
BDKBJLID_00154	CDS			putative phosphoesterase, PAP2 family
BDKBJLID_00154	gene			
BDKBJLID_00155	CDS			hypothetical protein
BDKBJLID_00155	gene			
BDKBJLID_00156	CDS			small-conductance mechanosensitive channel
BDKBJLID_00156	gene			
BDKBJLID_00157	CDS			hypothetical protein
BDKBJLID_00157	gene			
BDKBJLID_00158	CDS			putative permease
BDKBJLID_00158	gene			
BDKBJLID_00159	CDS			putative two component, sigma54 specific, transcriptional regulator, Fis family
BDKBJLID_00159	gene			
BDKBJLID_00160	CDS			hypothetical protein
BDKBJLID_00160	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00161	CDS			putative periplasmic sensor signal transduction histidine kinase
BDKBJLID_00161	gene			
BDKBJLID_00162	CDS			putative peptidase, M23B family
BDKBJLID_00162	gene			
BDKBJLID_00163	CDS			hypothetical protein
BDKBJLID_00163	gene			
BDKBJLID_00164	CDS			putative membrane protein
BDKBJLID_00164	gene			
BDKBJLID_00165	CDS	pgsA		phosphatidylglycerophosphate synthase
BDKBJLID_00165	gene	pgsA		
BDKBJLID_00166	CDS			low specificity HAD superfamily phosphatase
BDKBJLID_00166	gene			
BDKBJLID_00167	CDS			putative sugar phosphate isomerase involved in capsule formation
BDKBJLID_00167	gene			
BDKBJLID_00168	CDS			3-deoxy-D-manno-octulosonic acid 8-phosphate synthase
BDKBJLID_00168	gene			
BDKBJLID_00169	CDS			CTP synthase
BDKBJLID_00169	gene			
BDKBJLID_00170	CDS			CMP-2-keto-3-deoxyoctulosonic acid synthetase
BDKBJLID_00170	gene			
BDKBJLID_00171	CDS	rfaE		ADP-heptose synthase, biproductal sugar kinase/a denylyltransferase
BDKBJLID_00171	gene	rfaE		
BDKBJLID_00172	CDS	lepB		signal peptidase I
BDKBJLID_00172	gene	lepB		
BDKBJLID_00173	CDS	lepA_1		membrane GTPase LepA
BDKBJLID_00173	gene	lepA_1		
BDKBJLID_00174	CDS	lepA_2		membrane GTPase LepA
BDKBJLID_00174	gene	lepA_2		
BDKBJLID_00175	CDS			putative glycoside hydrolase, family 15
BDKBJLID_00175	gene			
BDKBJLID_00176	CDS			histidyl-tRNA synthetase
BDKBJLID_00176	gene			
BDKBJLID_00177	CDS			putative glycoside hydrolase, family 15
BDKBJLID_00177	gene			
BDKBJLID_00178	CDS			AraC-type DNA-binding domain-containing protein
BDKBJLID_00178	gene			
BDKBJLID_00179	CDS			aldo/keto reductase family protein
BDKBJLID_00179	gene			
BDKBJLID_00180	CDS			membrane protein
BDKBJLID_00180	gene			
BDKBJLID_00181	CDS	nth	4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase /endonuclease III
BDKBJLID_00181	gene	nth		
BDKBJLID_00182	CDS	lon2		ATP-dependent Lon protease, bacterial type
BDKBJLID_00182	gene	lon2		
BDKBJLID_00183	CDS			small heat shock protein
BDKBJLID_00183	gene			
BDKBJLID_00184	CDS	prfB		protein chain release factor B
BDKBJLID_00184	gene	prfB		
BDKBJLID_00185	CDS	lnt		apolipoprotein N-acyltransferase
BDKBJLID_00185	gene	lnt		
BDKBJLID_00186	CDS			hypothetical protein
BDKBJLID_00186	gene			
BDKBJLID_00187	CDS			hypothetical protein
BDKBJLID_00187	gene			
BDKBJLID_00188	CDS		6.5.1.1	DNA ligase-1
BDKBJLID_00188	gene			
BDKBJLID_00189	CDS			putative N-acetyltransferase family protein
BDKBJLID_00189	gene			
BDKBJLID_00190	CDS			hypothetical protein
BDKBJLID_00190	gene			
BDKBJLID_00191	CDS			putative Lon family ATP-dependent protease
BDKBJLID_00191	gene			
BDKBJLID_00192	CDS			putative AAA+ superfamily ATPase
BDKBJLID_00192	gene			
BDKBJLID_00193	CDS			hypothetical protein
BDKBJLID_00193	gene			
BDKBJLID_00194	CDS	guaB		inosine-5'-monophosphate dehydrogenase
BDKBJLID_00194	gene	guaB		
BDKBJLID_00195	CDS			GMP synthase (glutamine-hydrolyzing)
BDKBJLID_00195	gene			
BDKBJLID_00196	CDS			hypothetical protein
BDKBJLID_00196	gene			
BDKBJLID_00197	CDS			hypothetical protein
BDKBJLID_00197	gene			
BDKBJLID_00198	CDS			hypothetical protein
BDKBJLID_00198	gene			
BDKBJLID_00199	CDS	aspS		aspartyl-tRNA synthetase
BDKBJLID_00199	gene	aspS		
BDKBJLID_00200	CDS	glnA		glutamine synthetase
BDKBJLID_00200	gene	glnA		
BDKBJLID_00201	CDS			PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein
BDKBJLID_00201	gene			
BDKBJLID_00202	CDS	merA		dihydrolipoamide dehydrogenase
BDKBJLID_00202	gene	merA		
BDKBJLID_00203	CDS			hypothetical protein
BDKBJLID_00203	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00204	CDS			transglycosylase
BDKBJLID_00204	gene			
BDKBJLID_00205	CDS			iron-sulfur cluster insertion protein
BDKBJLID_00205	gene			
BDKBJLID_00206	CDS			hypothetical protein
BDKBJLID_00206	gene			
BDKBJLID_00207	CDS			hypothetical protein
BDKBJLID_00207	gene			
BDKBJLID_00208	CDS			putative transcription elongation factor GreA
BDKBJLID_00208	gene			
BDKBJLID_00209	CDS	carB		carbamoylphosphate synthase large subunit
BDKBJLID_00209	gene	carB		
BDKBJLID_00210	CDS			putative radical SAM family protein
BDKBJLID_00210	gene			
BDKBJLID_00211	CDS	carA	6.3.5.5	carbamoyl-phosphate synthase small subunit
BDKBJLID_00211	gene	carA		
BDKBJLID_00212	CDS			dihydroorotase
BDKBJLID_00212	gene			
BDKBJLID_00213	CDS	pyrB		aspartate carbamoyltransferase, catalytic chain
BDKBJLID_00213	gene	pyrB		
BDKBJLID_00214	CDS			uracil phosphoribosyltransferase
BDKBJLID_00214	gene			
BDKBJLID_00215	CDS			hypothetical protein
BDKBJLID_00215	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00216	CDS			Diadenosine tetraphosphate (Ap4A) hydrolase
BDKBJLID_00216	gene			
BDKBJLID_00217	CDS			tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
BDKBJLID_00217	gene			
BDKBJLID_00218	CDS			putative CBS domain containing membrane protein
BDKBJLID_00218	gene			
BDKBJLID_00219	CDS			putative major facilitator superfamily transporter
BDKBJLID_00219	gene			
BDKBJLID_00220	CDS			putative major facilitator superfamily transporter
BDKBJLID_00220	gene			
BDKBJLID_00221	CDS			putative membrane protein
BDKBJLID_00221	gene			
BDKBJLID_00222	CDS			hypothetical protein
BDKBJLID_00222	gene			
BDKBJLID_00223	CDS			hypothetical protein
BDKBJLID_00223	gene			
BDKBJLID_00224	CDS			Cytochrome C oxidase, cbb3-type, subunit III
BDKBJLID_00224	gene			
BDKBJLID_00225	CDS			SAM-dependent methyltransferase, MidA family
BDKBJLID_00225	gene			
BDKBJLID_00226	CDS			hypothetical protein
BDKBJLID_00226	gene			
BDKBJLID_00227	CDS			putative hydroxypyruvate reductase/glycerate kinase
BDKBJLID_00227	gene			
BDKBJLID_00228	CDS			putative hydroxypyruvate reductase/glycerate kinase
BDKBJLID_00228	gene			
BDKBJLID_00229	CDS			hypothetical protein
	sig_peptide			putative signal peptide
BDKBJLID_00229	gene			
BDKBJLID_00230	CDS	sppA2	3.4.21.-	protease-4
BDKBJLID_00230	gene	sppA2		
BDKBJLID_00231	CDS			putative nucleotide-binding protein
BDKBJLID_00231	gene			
BDKBJLID_00232	CDS			putative ABC-2 type transporter
BDKBJLID_00232	gene			
BDKBJLID_00233	CDS			daunorubicin resistance ABC transporter ATP- binding subunit
BDKBJLID_00233	gene			
BDKBJLID_00234	CDS			cytochrome c class I
BDKBJLID_00234	gene			
BDKBJLID_00235	CDS			hypothetical protein
BDKBJLID_00235	gene			
BDKBJLID_00236	CDS			cytochrome C
BDKBJLID_00236	gene			
BDKBJLID_00237	CDS			cytochrome b/b6 domain-containing protein
BDKBJLID_00237	gene			
BDKBJLID_00238	CDS			putative rieske iron-sulfur family protein
BDKBJLID_00238	gene			
BDKBJLID_00239	CDS			NADPH-dependent glutamate synthase beta chain
BDKBJLID_00239	gene			
BDKBJLID_00240	CDS	nadK	2.7.1.23	NAD+ kinase
BDKBJLID_00240	gene	nadK		
BDKBJLID_00241	CDS			deacylase
BDKBJLID_00241	gene			
BDKBJLID_00242	CDS			organic solvent tolerance protein
BDKBJLID_00242	gene			
	sig_peptide			putative signal peptide
BDKBJLID_00243	CDS	folC		folylpolyglutamate synthase
BDKBJLID_00243	gene	folC		
BDKBJLID_00244	CDS	accD		acetyl-CoA carboxylase carboxyltransferase, beta subunit
BDKBJLID_00244	gene	accD		
BDKBJLID_00245	CDS			tryptophan synthase alpha chain
BDKBJLID_00245	gene			
BDKBJLID_00246	CDS	trpB		tryptophan synthase beta chain
BDKBJLID_00246	gene	trpB		
BDKBJLID_00247	CDS			phosphoribosylanthranilate isomerase
BDKBJLID_00247	gene			
BDKBJLID_00248	CDS	trpC		indole-3-glycerol phosphate synthase
BDKBJLID_00248	gene	trpC		
BDKBJLID_00249	CDS	trpD		anthranilate phosphoribosyltransferase
BDKBJLID_00249	gene	trpD		
BDKBJLID_00250	CDS			anthranilate/para-aminobenzoate synthase component II
BDKBJLID_00250	gene			
BDKBJLID_00251	CDS			anthranilate/para-aminobenzoate synthase component I
BDKBJLID_00251	gene			
BDKBJLID_00252	CDS			sigma54-specific transcriptional regulator, Fis family
BDKBJLID_00252	gene			
BDKBJLID_00253	CDS			ADP-ribose pyrophosphatase
BDKBJLID_00253	gene			
BDKBJLID_00254	CDS			putative membrane protein
BDKBJLID_00254	gene			
BDKBJLID_00255	CDS			hypothetical protein
BDKBJLID_00255	gene			
BDKBJLID_00256	CDS			hypothetical protein
BDKBJLID_00256	gene			
BDKBJLID_00257	CDS			putative iron-sulfur protein
BDKBJLID_00257	gene			
BDKBJLID_00258	CDS			hypothetical protein
BDKBJLID_00258	gene			
BDKBJLID_00259	CDS			cbb3-type cytochrome oxidase, subunit 1
BDKBJLID_00259	gene			
BDKBJLID_00260	CDS			serine/threonine protein kinase
BDKBJLID_00260	gene			
BDKBJLID_00261	CDS			putative cytochrome-c oxidase
BDKBJLID_00261	gene			
BDKBJLID_00262	CDS			hypothetical protein
BDKBJLID_00262	gene			
BDKBJLID_00263	CDS			hypothetical protein
BDKBJLID_00263	gene			
BDKBJLID_00264	CDS			Cytochrome c
BDKBJLID_00264	gene			
BDKBJLID_00265	CDS			hypothetical protein
BDKBJLID_00265	gene			
BDKBJLID_00266	CDS			hypothetical protein
BDKBJLID_00266	gene			
BDKBJLID_00267	CDS			cbb3-type cytochrome oxidase, cytochrome c subunit
BDKBJLID_00267	gene			
BDKBJLID_00268	CDS			hypothetical protein
BDKBJLID_00268	gene			
BDKBJLID_00269	CDS			hypothetical protein
BDKBJLID_00269	gene			
BDKBJLID_00270	CDS			hypothetical protein
BDKBJLID_00270	gene			
BDKBJLID_00271	CDS			putative membrane protein
BDKBJLID_00271	gene			
BDKBJLID_00272	CDS			ferredoxin
BDKBJLID_00272	gene			
BDKBJLID_00273	CDS	thrB		homoserine kinase
BDKBJLID_00273	gene	thrB		
BDKBJLID_00274	CDS			dihydroorotate dehydrogenase
BDKBJLID_00274	gene			
BDKBJLID_00275	CDS		6.3.2.-	proteasome accessory factor A
BDKBJLID_00275	gene			
BDKBJLID_00276	CDS	pre1		putative 20S proteasome alpha-subunit
BDKBJLID_00276	gene	pre1		
BDKBJLID_00277	CDS			putative 20S proteasome beta-subunit
BDKBJLID_00277	gene			
BDKBJLID_00278	CDS			hypothetical protein
BDKBJLID_00278	gene			
BDKBJLID_00279	CDS			putative proteasome component
BDKBJLID_00279	gene			
BDKBJLID_00280	CDS			ATPase
BDKBJLID_00280	gene			
BDKBJLID_00281	CDS			putative 2-deoxycytidine 5-triphosphate deaminase
BDKBJLID_00281	gene			
BDKBJLID_00282	CDS			putative 2-deoxycytidine 5-triphosphate deaminase
BDKBJLID_00282	gene			
BDKBJLID_00283	CDS			cob(II)yrinic acid a,c-diamide reductase
BDKBJLID_00283	gene			
BDKBJLID_00284	CDS			lysine 2,3-aminomutase
BDKBJLID_00284	gene			
BDKBJLID_00285	CDS			Glutathionylspermidine synthase preATP-grasp
BDKBJLID_00285	gene			
BDKBJLID_00286	CDS			cytochrome c biogenesis protein
BDKBJLID_00286	gene			
BDKBJLID_00287	CDS	hemA		glutamyl-tRNA reductase
BDKBJLID_00287	gene	hemA		
BDKBJLID_00288	CDS	hemC		porphobilinogen deaminase
BDKBJLID_00288	gene	hemC		
BDKBJLID_00289	CDS			HemD protein
BDKBJLID_00289	gene			
BDKBJLID_00290	CDS			HemD protein
BDKBJLID_00290	gene			
BDKBJLID_00291	CDS			porphobilinogen synthase
BDKBJLID_00291	gene			
BDKBJLID_00292	CDS			riboflavin kinase/FAD synthase(RibC)
BDKBJLID_00292	gene			
BDKBJLID_00293	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthase
BDKBJLID_00293	gene	tilS		
BDKBJLID_00294	CDS	hpt		hypoxanthine-guanine phosphoribosyltransferase
BDKBJLID_00294	gene	hpt		
BDKBJLID_00295	CDS	ftsH-2		ATP-dependent Zn protease
BDKBJLID_00295	gene	ftsH-2		
BDKBJLID_00296	CDS		2.5.1.15	Dihydropteroate synthase
BDKBJLID_00296	gene			
BDKBJLID_00297	CDS			membrane protein
BDKBJLID_00297	gene			
BDKBJLID_00298	CDS			YbbR-like protein
BDKBJLID_00298	gene			
BDKBJLID_00299	tRNA			tRNA-Asn(gtt)
BDKBJLID_00299	gene			
BDKBJLID_00300	CDS			Putative ammonia monooxygenase
BDKBJLID_00300	gene			
BDKBJLID_00301	CDS			putative isochorismatase hydrolase
BDKBJLID_00301	gene			
BDKBJLID_00302	CDS			transcriptional regulator, TetR family
BDKBJLID_00302	gene			
BDKBJLID_00303	CDS			monovalent cation:H+ antiporter, CPA1 family
BDKBJLID_00303	gene			
BDKBJLID_00304	CDS			hypothetical protein
	sig_peptide			putative signal peptide
BDKBJLID_00304	gene			
BDKBJLID_00305	CDS			LPP20 lipoprotein
